id_0,AMB_TEMP,21,21,20,20,19,19,19,18,17
id_0,CH4,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8
id_0,CO,0.39,0.36,0.36,0.4,0.53,0.55,0.34,0.31,0.23
id_1,AMB_TEMP,14,13,13,13,13,13,13,12,13
id_1,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.7,1.7,1.8
id_1,CO,0.33,0.33,0.33,0.35,0.34,0.33,0.32,0.34,0.61
id_2,AMB_TEMP,32,31,32,33,32,31,30,29,28
id_2,CH4,1.8,1.8,1.8,1.7,1.7,1.8,1.7,1.7,1.7
id_2,CO,0.71,0.53,0.52,0.39,0.41,0.45,0.32,0.29,0.33
id_3,AMB_TEMP,16,15,15,15,14,14,15,15,14
id_3,CH4,1.8,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
id_3,CO,0.77,0.38,0.28,0.28,0.27,0.2,0.2,0.21,0.22
id_4,AMB_TEMP,24,24,26,28,29,30,31,31,31
id_4,CH4,1.7,1.7,1.7,1.6,1.7,1.7,1.7,1.7,1.7
id_4,CO,0.28,0.44,0.44,0.21,0.19,0.3,0.29,0.28,0.26
id_5,AMB_TEMP,22,21,20,20,20,20,20,20,20
id_5,CH4,1.8,1.8,1.7,1.8,1.7,1.7,1.7,1.7,1.8
id_5,CO,0.54,0.64,0.6,0.56,0.36,0.3,0.27,0.28,0.31
id_6,AMB_TEMP,27,27,26,25,23,22,22,22,22
id_6,CH4,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.7,1.7
id_6,CO,0.25,0.24,0.32,0.43,0.41,0.4,0.44,0.44,0.49
id_7,AMB_TEMP,27,26,26,25,24,24,24,24,24
id_7,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
id_7,CO,0.56,0.51,0.58,0.66,0.57,0.54,0.47,0.48,0.5
id_8,AMB_TEMP,27,26,27,30,32,32,33,33,32
id_8,CH4,1.6,1.6,1.6,1.5,1.6,1.6,1.6,1.6,1.6
id_8,CO,0.21,0.27,0.17,0.18,0.22,0.31,0.32,0.22,0.29
id_9,AMB_TEMP,13,13,13,15,17,19,19,20,23
id_9,CH4,1.7,1.7,1.7,1.8,1.9,1.9,1.9,1.8,1.8
id_9,CO,0.21,0.24,0.29,1.04,1.21,1.01,0.56,0.39,0.29
id_10,AMB_TEMP,31,30,29,27,27,28,27,26,26
id_10,CH4,1.7,1.6,1.6,1.6,1.7,1.7,1.6,1.6,1.7
id_10,CO,0.2,0.17,0.16,0.21,0.34,0.33,0.31,0.27,0.34
id_11,AMB_TEMP,29,29,29,28,28,29,30,31,31
id_11,CH4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
id_11,CO,0.12,0.11,0.13,0.14,0.14,0.18,0.16,0.18,0.17
id_12,AMB_TEMP,21,24,26,27,28,28,27,26,24
id_12,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
id_12,CO,0.45,0.41,0.5,0.37,0.22,0.35,0.35,0.36,0.38
id_13,AMB_TEMP,27,26,25,24,25,23,22,23,24
id_13,CH4,1.7,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9
id_13,CO,0.4,0.51,0.62,0.58,0.72,0.68,0.6,0.65,0.6
id_14,AMB_TEMP,31,30,29,29,28,27,27,26,27
id_14,CH4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.7
id_14,CO,0.13,0.16,0.17,0.19,0.17,0.17,0.25,0.24,0.25
id_15,AMB_TEMP,28,27,27,27,27,27,27,26,26
id_15,CH4,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6
id_15,CO,0.28,0.32,0.33,0.34,0.23,0.2,0.18,0.16,0.16
id_16,AMB_TEMP,24,25,26,27,27,27,28,28,27
id_16,CH4,1.7,1.7,1.7,1.8,1.7,1.7,1.7,1.7,1.7
id_16,CO,0.48,0.46,0.52,0.56,0.59,0.39,0.32,0.27,0.26
id_17,AMB_TEMP,27,30,32,32,32,33,32,32,31
id_17,CH4,1.8,1.8,1.8,1.9,1.8,1.8,1.8,1.8,2
id_17,CO,0.55,0.5,0.68,0.61,0.56,0.46,0.47,0.51,0.53
id_18,AMB_TEMP,26,26,25,25,24,24,23,23,23
id_18,CH4,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7
id_18,CO,0.18,0.16,0.16,0.15,0.18,0.15,0.26,0.24,0.2
id_19,AMB_TEMP,26,26,26,25,25,25,24,24,24
id_19,CH4,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7
id_19,CO,0.28,0.28,0.3,0.27,0.25,0.22,0.2,0.19,0.18
id_20,AMB_TEMP,23,23,22,22,22,21,21,21,22
id_20,CH4,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
id_20,CO,0.45,0.48,0.51,0.57,0.52,0.45,0.48,0.61,0.79
